Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.938920327153704,0.917022961079203,0.887563333488748,0.85279920625178,0.817555711392756
China,CHN,Population growth (annual %),SP.POP.GROW,0.487231117971201,0.49370963351136,0.506311591779847,0.508136747291937,0.541478512050099
France,FRA,Population growth (annual %),SP.POP.GROW,0.483982311686857,0.514774024594539,0.479814388342675,0.417238030192745,0.399244807338297
United States,USA,Population growth (annual %),SP.POP.GROW,0.750914976335014,0.711248386684869,0.752305212009722,0.755812954934385,0.734307439742705
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,2.59479571367044,1.18180498875127,0.714762520858884,0.915608331412884,1.25175905246942
